image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,total_score,raw_level,caps_applied,final_level,clip_dog_score,clip_face_score,clip_pastel_score,clip_activity_score,clip_place_score,yolo_dog_count,reason_face_clear,reason_one_dog,reason_prompt_reflected,reason_time_palette_ok,reason_no_mirror,reason_no_extra_legs,reason_pastel_style,reason_human_prompt_consistency,reason_no_duplicate_face_parts,reason_no_realistic_rendering,reason_human_face_clear,reason_place_context_ok,in_tokens,out_tokens
20260416_095413_32bc9e,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0,1,1,1,1.0,1.0,1,17,L5,"""""",L5,0.0549,0.012,0.0956,0.0729,0.072,1,강아지 얼굴이 선명하게 표현되었다.,이미지 내에 강아지가 한 마리만 있다.,공원에서 공놀이하는 장면이 잘 반영되었다.,밝은 낮의 팔레트가 사용되었다.,반사나 거울 이미지가 없다.,다리 수가 정상적으로 표현되었다.,한국-일본식 파스텔 그림책 스타일로 표현되었다.,사람이 프롬프트와 충돌되지 않게 등장한다.,"눈, 코, 귀가 중복되지 않고 자연스럽게 표현되었다.",사실적 렌더링이 혼입되지 않았다.,사람 얼굴이 흐리고 이목구비가 불분명하다.,공원 배경이 잘 표현되었다.,1715,389
20260416_095440_001e5e,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0,0,1,1.0,1.0,1,16,L4,"""""",L4,0.0245,0.0231,0.1164,0.0761,,0,강아지의 얼굴이 선명하고 왜곡 없이 표현되었습니다.,이미지 내 강아지가 정확히 1마리입니다.,프롬프트의 핵심 장면이 잘 반영되었습니다.,이미지의 팔레트가 눈의 배경과 잘 어울립니다.,거울 효과나 반사 이미지가 없습니다.,다리가 추가 생성되지 않았습니다.,한국-일본식 파스텔 그림책 스타일로 표현되었습니다.,프롬프트와 충돌하지 않는 사람 표현이 있습니다.,얼굴 부위가 중복 생성되지 않았습니다.,사실적 렌더링 요소가 없습니다.,사람의 얼굴이 명확히 식별 가능합니다.,눈 내린 배경이 자연스럽고 적절하게 표현되었습니다.,1714,386
20260416_095507_49e27b,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,1,17,L5,"""""",L5,0.0463,0.0135,0.1102,0.0257,,0,강아지의 얼굴이 선명하고 왜곡 없이 표현되어 있다.,이미지 내 강아지가 한 마리만 있다.,"비 오는 날, 나영과 함께라는 프롬프트가 잘 반영되어 있다.",비 오는 날에 어울리는 차분한 팔레트가 사용되었다.,반사나 거울 이미지가 없다.,강아지의 다리 수가 정확히 네 개로 추가 생성되지 않았다.,한국식 파스텔 그림책 스타일로 표현되어 있다.,사람이 프롬프트와 잘 일치하며 나영이 포함되어 있다.,"강아지의 눈, 코, 귀가 중복되지 않고 자연스럽게 표현되어 있다.",사실적 렌더링이 혼입되지 않았다.,사람 얼굴이 식별 가능하게 표현되어 있다.,창문을 통해 비가 오는 상황이 배경으로 잘 표현되어 있다.,1712,405
20260416_095537_996595,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,18,L5,"""""",L5,0.0235,0.0214,0.108,,,1,강아지 얼굴이 선명하게 잘 표현되어 있다.,이미지 내에 강아지가 정확히 한 마리 있다.,프롬프트의 핵심 장면인 계곡에서 즐기는 모습이 반영되었다.,밝은 팔레트로 낮의 느낌을 잘 전달하고 있다.,거울 효과나 반사가 없다.,다리의 수와 위치가 자연스럽다.,한국-일본식 파스텔 그림책 스타일이 잘 표현되었다.,사람들이 등장하여 프롬프트와 충돌하지 않는다.,"눈, 코, 귀가 중복되지 않고 자연스럽다.",사실적 렌더링이 없이 일러스트 스타일이다.,사람 얼굴이 식별 가능하게 표현되었다.,계곡의 자연적인 배경이 잘 나타나 있다.,1717,387
20260416_095601_54be30,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,1,1,1.0,1.0,1,16,L4,"""""",L4,0.0315,0.0097,0.1086,0.017,-0.0263,0,강아지의 얼굴이 선명하게 잘 표현되어 있음.,이미지에 강아지가 한 마리만 있음.,밤 산책 장면이 잘 반영되어 있음.,밤의 이미지에 맞는 어두운 팔레트 사용.,이미지에 반사나 거울 효과가 없음.,다리의 수가 정확하고 부자연스럽지 않음.,한국-일본식 파스텔 그림책 스타일이 분명함.,프롬프트에 사람이 언급되지 않음.,"눈, 코, 귀가 중복 없이 정확히 표현됨.",사실적인 렌더링 없이 그림 스타일 유지.,사람의 얼굴이 이미지에 없음.,배경에 가로등과 나무가 있어 장소가 명확히 드러남.,1712,388
20260416_095626_9e9226,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0518,-0.0063,0.0337,,,0,강아지 얼굴이 선명하고 잘 표현되어 있음.,이미지 내 강아지가 한 마리임.,로프와 함께 놀고 있는 장면이 반영됨.,밝고 따뜻한 톤으로 낮을 표현.,반사/거울 이미지가 없음.,다리가 추가 생성되지 않았음.,파스텔 그림책 스타일로 표현됨.,사람이 등장하지 않음.,얼굴에 중복된 부분이 없음.,사실적 렌더링 없이 그림으로 표현됨.,사람이 없으므로 해당 없음.,실내라는 배경이 적절히 표현됨.,1715,345
20260416_095654_19fdb9,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,1,1,1.0,1.0,1,16,L4,"""""",L4,0.0289,0.0141,0.1041,,,0,강아지의 얼굴이 뚜렷하고 선명하게 표현됨.,이미지 내에 강아지가 정확히 한 마리만 있음.,느긋한 여름날의 풍경이 핵심 요소로 잘 표현됨.,밝고 따뜻한 팔레트가 여름날과 잘 어울림.,반사나 거울 이미지가 없음.,다리가 자연스럽게 표현되어 추가 생성되지 않음.,한국-일본식 파스텔 그림책 스타일로 표현됨.,사람이 명시적으로 프롬프트에 언급되지 않음.,"눈, 코, 귀가 중복 생성되지 않음.",사실적 렌더링 없이 그림책 스타일 유지됨.,사람의 얼굴이 없거나 명확하지 않음.,편안한 공원의 풍경이 잘 반영됨.,1716,404
20260416_095720_cf997e,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0,1,0,1,1.0,1.0,1,16,L4,"""""",L4,0.0394,0.0316,0.1248,,,0,강아지 얼굴이 선명하고 이목구비가 뚜렷함.,이미지에는 강아지가 정확히 한 마리 있음.,담요에서 행복한 하루 보낸 강아지가 잘 표현됨.,시간대를 방해하지 않는 자연스러운 팔레트 사용.,반사나 거울 이미지가 없음.,다리가 추가 생성되지 않고 자연스럽게 표현됨.,한국-일본식 파스텔 그림책 스타일이 잘 표현됨.,"사람이 포함되어 있으며, 프롬프트와 충돌하지 않음.","눈, 코, 귀가 중복 생성되지 않음.",사실적 렌더링이 없이 그림체로 표현됨.,사람의 얼굴이 명확하지 않음.,담요 위 배경이 적절히 묘사됨.,1713,387
20260416_095746_b73eea,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,1,17,L5,"""""",L5,0.0353,0.0175,0.0929,,,1,강아지의 얼굴이 선명하고 왜곡되지 않았다.,이미지에 강아지가 정확히 1마리 있다.,프롬프트의 핵심 장면인 강아지의 걱정스러운 모습이 반영되었다.,낮의 팔레트와 일치한다.,반사나 거울 이미지가 없다.,다리가 4개로 정상적이다.,한국-일본식 파스텔 그림책 스타일이 잘 반영되었다.,사람의 표현이 프롬프트와 충돌하지 않는다.,"눈, 코, 귀가 중복되지 않고 자연스럽게 표현되었다.",사실적 렌더링이 없고 일러스트 스타일이다.,사람의 얼굴이 명확하게 표현되었다.,실내 배경이 적절하게 표현되었다.,1718,402
20260416_095815_7e1c3a,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,18,L5,"""""",L5,0.036,0.0217,0.115,0.0221,,0,강아지의 얼굴이 선명하게 표현되었다.,이미지 내에 정확히 1마리의 강아지가 있다.,프롬프트의 핵심 장면이 잘 반영되었다.,시간대에 따른 팔레트의 불일치가 없다.,반사/거울 이미지는 없다.,다리의 개수가 정상적이다.,한국식 파스텔 그림책 스타일이다.,사람의 표현이 프롬프트와 충돌하지 않는다.,"눈, 코, 귀가 중복되지 않았다.",사실적 렌더링이 혼입되지 않았다.,사람의 얼굴이 명확하게 표현되었다.,장소와 배경이 적절히 일치한다.,1711,379
20260416_095839_7adf64,0,,,,,,1,,,,,,1,1,1,,,1,5,L1,"""dog_visible->L0""",L0,-0.0021,0.016,0.0858,0.0397,-0.0218,0,[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],0,0
20260416_103755_8feeb8,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0,1.0,1,0,1,1.0,1.0,1,16,L4,"""""",L4,0.0361,0.0085,0.1041,,0.0719,0,강아지의 얼굴이 선명하게 잘 표현됨.,이미지 내에 강아지가 하나만 있음.,강아지가 새 집에서 탐색하는 장면이 잘 반영됨.,실내 분위기에 맞는 조명 사용으로 일치함.,반사나 거울 이미지는 보이지 않음.,다리가 추가 생성되지 않고 네 개로 정상적임.,한국-일본식 파스텔 그림책 스타일로 묘사됨.,사람의 모습이 등장하고 있으나 프롬프트에 관련 설정이 없어 평가 불가.,"눈, 코, 귀가 중복되지 않고 정상적으로 표현됨.",사실적 렌더링 없이 파스텔화 스타일 유지.,사람의 얼굴이 선명하게 잘 표현됨.,실내 환경으로 배경이 일치함.,1715,399
20260416_103841_1f8d70,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,1,1,1.0,1.0,1,16,L4,"""""",L4,0.0378,0.0136,0.1222,,0.0451,1,강아지 얼굴이 선명하게 그려짐.,이미지에는 강아지가 정확히 한 마리 존재함.,강아지가 공원에서 신나게 표현되어 프롬프트 반영됨.,이미지의 색감이 공원의 낮 분위기와 일치함.,반사 효과나 거울 이미지 없음.,다리 추가 생성 없이 네 개 표현됨.,한국-일본식 파스텔 그림책 스타일로 그려짐.,프롬프트에 사람 언급 없음. 무시.,얼굴에 중복된 부분 없음.,사실적 렌더링 혼입 없음.,프롬프트와 무관하므로 평가 무시.,배경이 공원이라는 설정과 잘 맞음.,1714,369
20260416_103909_5fee36,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1,1,1,0.0,0.0,1,14,L4,"""prompt_reflected->L3""",L3,0.037,0.0113,0.1408,0.0221,,0,강아지 얼굴이 왜곡 없이 선명하게 표현됨.,강아지가 정확히 한 마리 등장함.,눈밭의 장면이 반영되지 않음.,낮의 밝은 팔레트와 일치하지 않음.,반사나 거울 이미지가 없음.,다리는 자연스럽게 네 개로 표현됨.,파스텔 그림책 스타일로 잘 표현됨.,사람이 등장하지만 필요가 없음.,"눈, 코, 귀가 중복 없이 정상적으로 하나씩 표현됨.",사실적 렌더링이 전혀 없음.,사람 얼굴이 명확하게 표현됨.,눈밭 배경이 나타나지 않음.,1712,360
20260416_103934_44e77c,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,,0.0,1,1,1,1.0,0.0,1,14,L4,"""prompt_reflected->L3""",L3,0.051,0.0204,0.0895,-0.0093,,1,강아지 얼굴이 선명하게 표현되어 있음.,이미지 내 강아지가 한 마리임.,프롬프트에 병원과 간식 요소가 나타나지 않음.,날씨 및 배경 색감이 일치함.,반사 이미지가 없음.,다리 수가 적절하게 표현됨.,파스텔 그림책 스타일이 잘 나타남.,프롬프트에 사람이 없으나 이미지에 사람이 부분적으로 표현됨.,"눈, 코, 귀가 중복되지 않고 정확히 표현됨.",사실적 렌더링 없이 일러스트 형식 유지.,사람 얼굴이 나타나지 않음.,프롬프트의 병원과 간식 배경이 없음.,1714,379
20260416_103959_4a15fe,1,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,1,16,L4,"""""",L4,0.0368,0.0095,0.1119,0.0158,,0,강아지 얼굴이 명확하고 잘 표현되었습니다.,이미지 내에 강아지가 정확히 한 마리 있습니다.,프롬프트의 핵심 장면인 예쁘게 변한 모습을 잘 반영했습니다.,팔레트가 시간이 적절하게 반영되었습니다.,이미지에 반사(거울)가 존재합니다.,다리가 추가 생성되지 않았습니다.,한국-일본식 파스텔 그림책 느낌이 잘 표현되었습니다.,사람이 프롬프트와 일관되고 자연스럽게 표현되었습니다.,"눈, 코, 귀의 중복 생성이 없습니다.",사실적 렌더링이 혼입되지 않았습니다.,사람의 얼굴이 명확하게 식별 가능합니다.,장소 배경이 충분히 구체적이고 적절히 표현되었습니다.,1715,384
20260416_104025_ef714c,1,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,14,L4,"""one_dog->L1""",L1,0.0434,0.0199,0.126,,,0,강아지 얼굴이 선명하고 이목구비가 명확히 드러나 있다.,이미지에 강아지가 두 마리 있다.,강아지가 사료를 먹는 장면이 잘 반영되어 있다.,시간대 관련 팔레트 요건 없음.,반사나 거울 이미지가 없다.,강아지의 다리 수가 자연스럽다.,한국-일본식 파스텔 그림책 스타일이 잘 표현되어 있다.,프롬프트에 사람에 대한 언급이 없으므로 해당 없음.,"눈, 코, 귀가 중복되지 않고 자연스럽다.",사실적 렌더링 없이 일러스트 스타일이 유지된다.,사람 얼굴은 해당 항목에 포함되지 않음.,내부 배경이 자연스럽다.,1711,392
20260416_104101_725b25,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,1,17,L5,"""""",L5,0.0393,0.0166,0.11,0.0346,,0,강아지 얼굴이 선명하게 잘 표현됨.,강아지가 정확히 한 마리만 있음.,프롬프트의 핵심 요소인 편안한 잠자는 모습이 잘 반영됨.,저녁 분위기의 어두운 팔레트가 일치함.,반사나 거울 이미지가 없음.,다리 수가 정확히 표현됨.,한국식 파스텔 그림의 스타일을 유지함.,프롬프트와 일치하여 사람 표현이 자연스러움.,중복된 얼굴 부위가 없음.,사실적 렌더링 없이 일러스트 스타일을 유지함.,사람의 얼굴이 식별 가능하게 잘 표현됨.,소파와 램프가 있는 실내 환경이 잘 표현됨.,1715,387
20260416_104130_a17a93,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,18,L5,"""""",L5,0.0396,0.0252,0.1016,,,0,강아지 얼굴이 선명하게 표현되었다.,이미지에는 강아지가 정확히 한 마리 나타났다.,운동장에서 노는 장면이 잘 반영되었다.,낮 시간에 맞는 밝은 팔레트가 사용되었다.,반사나 거울 이미지는 보이지 않는다.,다리가 자연스럽게 표현되었다.,한국-일본식 파스텔 그림책 스타일이다.,사람이 프롬프트와 충돌 없이 표현되었다.,"눈, 코, 귀가 중복 생성되지 않았다.",사실적 렌더링이 혼입되지 않았다.,사람 얼굴도 선명하고 이목구비가 잘 보인다.,운동장 배경이 적절하게 표현되었다.,1714,386
20260416_104156_dd767c,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,0,0,1,1.0,1.0,1,14,L4,"""""",L4,0.0311,0.0215,0.0982,0.0385,-0.0227,0,강아지 얼굴이 선명하게 표현되어 있다.,이미지 내 강아지는 정확히 한 마리이다.,산책 중 자전거가 나타난 상황이 묘사되어 있다.,낮의 분위기에 맞는 팔레트가 사용되었다.,반사 또는 거울 이미지는 없다.,다리 수가 자연스럽고 추가 생성되지 않았다.,한국-일본식 파스텔 그림 느낌이다.,사람 표현과 관련된 프롬프트가 없다.,"눈, 코, 귀가 중복 생성되지 않았다.",사실적 렌더링이 혼입되지 않았다.,사람이 명백히 나타나지 않는다.,산책하는 배경이 적절히 표현되어 있다.,1715,378
20260416_104223_48d74c,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0,1,0,1,1.0,1.0,1,16,L4,"""""",L4,0.0436,0.014,0.101,,,0,강아지 얼굴이 선명하게 잘 표현되었다.,강아지가 한 마리만 존재한다.,프롬프트의 핵심 요소가 잘 반영되었다.,이미지의 색상 팔레트가 낮/저녁의 분위기를 잘 반영한다.,반사 이미지가 없다.,다리 수가 정확하다.,한국-일본식 파스텔 그림책 스타일을 잘 반영하고 있다.,사람의 표현이 프롬프트 내용과 일치한다.,중복된 얼굴 부위가 없다.,사실적 렌더링이 없다.,사람의 얼굴이 충분히 명확하지 않다.,배경이 실내라는 장소를 잘 묘사하고 있다.,1714,380
20260416_104255_91c25e,1,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,17,L5,"""one_dog->L1""",L1,0.0388,0.0118,0.0903,,,0,강아지 얼굴이 선명하게 표현되어 있음.,이미지에 강아지가 두 마리 있음.,프롬프트의 핵심 요소가 반영됨.,이미지 팔레트가 자연광으로 표현됨.,반사/거울 이미지가 없음.,다리 수가 적절하게 표현됨.,한국-일본식 파스텔 그림책 스타일로 표현됨.,프롬프트와 사람 표현이 일치함.,"눈, 코, 귀가 중복되지 않음.",사실적 렌더링이 혼입되지 않음.,사람 얼굴이 식별 가능함.,실내 배경이 적절히 묘사됨.,1710,370
20260416_104322_21e269,0,,,,,,1,,,,,,1,0,1,,,1,4,L1,"""dog_visible->L0""",L0,0.015,0.0032,0.0972,0.0666,-0.0067,0,[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],0,0
20260416_104349_9fac9e,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0,0,1,1.0,1.0,1,16,L4,"""""",L4,0.0378,0.0239,0.1082,,,0,강아지 얼굴이 선명하게 잘 표현되어 있다.,이미지에 강아지가 정확히 한 마리 있다.,프롬프트의 핵심 요소가 잘 반영되어 있다.,낮이라는 프롬프트와 어울리게 밝은 팔레트가 사용되었다.,반사나 거울 이미지가 없다.,다리가 추가 생성되지 않고 자연스럽다.,한국-일본식 파스텔 그림책 스타일이 잘 나타나 있다.,사람의 모습이 프롬프트와 충돌하지 않고 일치한다.,"눈, 코, 귀가 중복되지 않고 자연스럽게 표현되어 있다.",사실적 렌더링이 혼입되지 않았다.,사람의 얼굴이 식별 가능하게 명확히 표현되어 있다.,수영을 할 수 있는 장소와 배경이 적절히 표현되어 있다.,1712,409
20260416_104416_697530,1,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,17,L5,"""face_clear->L2""",L2,0.0275,0.016,0.0995,,,0,강아지의 얼굴이 뭉개져 눈코입이 명확하게 식별되지 않는다.,이미지에 강아지가 정확히 한 마리 있다.,프롬프트의 핵심 장면과 요소가 이미지에 잘 반영되었다.,밤의 분위기를 잘 반영한 팔레트가 사용되었다.,반사/거울 이미지가 없다.,강아지 다리가 추가 생성되지 않고 정상적으로 표현되어 있다.,한국-일본식 파스텔 그림책 스타일로 표현되었다.,프롬프트에 사람 표현이 있으며 이미지와 일치한다.,"눈, 코, 귀가 중복 생성되지 않고 자연스럽게 표현되었다.",사실적 렌더링 없이 일러스트 스타일이다.,사람 얼굴이 식별 가능하게 표현되었다.,프롬프트의 장소와 분위기가 이미지의 배경과 잘 일치한다.,1716,455
20260416_104445_c06482,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,18,L5,"""""",L5,0.0347,0.0029,0.1135,,,0,강아지 얼굴이 선명하게 표현됨.,강아지가 한 마리만 있음.,프롬프트의 장면이 잘 반영됨.,저녁 시간대가 맞는 어두운 팔레트 사용.,반사/거울 이미지가 없음.,다리 수가 정확히 표현됨.,한국식 파스텔 그림책 스타일이 잘 드러남.,사람들이 등장하며 프롬프트와 일치함.,"눈, 코, 귀가 중복 생성되지 않음.",사실적 렌더링이 혼입되지 않음.,사람 얼굴이 식별 가능하게 표현됨.,실내 배경과 소품이 정확히 일치함.,1717,374
20260416_104514_4017a8,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,18,L5,"""""",L5,0.0513,0.0184,0.097,,,0,강아지의 얼굴은 선명하게 표현되었으며 왜곡이나 뭉개짐이 없다.,이미지 내 강아지가 한 마리만 있다.,강아지의 빗질 시간이라는 핵심 장면이 잘 반영되었다.,팔레트가 자연스러우며 시간대와 일치한다.,반사나 거울 이미지가 없다.,다리의 개수가 자연스럽고 추가 생성되지 않았다.,한국-일본식 파스텔 그림책 스타일로 잘 표현되었다.,사람의 존재가 프롬프트와 일치하며 강아지 빗질 상황을 반영한다.,"눈, 코, 귀의 중복 생성이 없다.",사실적 렌더링 없이 부드러운 일러스트 스타일이다.,사람의 얼굴이 선명하게 표현되었다.,실내 배경이 있으며 강아지와 잘 어울린다.,1718,421
20260416_104539_93b839,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0345,0.0193,0.082,-0.0326,,1,강아지의 얼굴이 선명하고 이목구비에 왜곡이 없습니다.,이미지에 강아지가 정확히 한 마리 있습니다.,프롬프트의 핵심 장면이 잘 반영되었습니다.,이미지의 밝은 팔레트가 낮을 잘 나타냅니다.,반사 또는 거울 이미지는 존재하지 않습니다.,"다리가 추가 생성되지 않았고, 위치가 자연스럽습니다.",파스텔 그림책 스타일이 잘 구현되어 있습니다.,프롬프트에 사람이 언급되지 않음.,"눈, 코, 귀가 중복 생성되지 않았습니다.",사실적 렌더링이 아닌 일러스트 스타일입니다.,사람의 얼굴은 주요 요소가 아님.,배경과 장소가 자연스러운 정원을 잘 표현합니다.,1713,380
